epoch,x_label,phase,layer,mem_mib
1,fwd-L1,fwd,1,335.537
1,fwd-L2,fwd,2,621.482
1,fwd-L3,fwd,3,903.902
1,fwd-L4,fwd,4,1186.321
1,fwd-L5,fwd,5,1468.740
1,fwd-L6,fwd,6,1751.159
1,fwd-L7,fwd,7,2033.578
1,fwd-L8,fwd,8,2315.998
1,fwd-L9,fwd,9,2598.417
1,fwd-L10,fwd,10,2880.836
1,fwd-L11,fwd,11,3163.255
1,fwd-L12,fwd,12,3445.675
1,bwd-L12,bwd,12,3614.506
1,bwd-L11,bwd,11,3325.283
1,bwd-L10,bwd,10,3035.187
1,bwd-L9,bwd,9,2745.091
1,bwd-L8,bwd,8,2454.995
1,bwd-L7,bwd,7,2164.899
1,bwd-L6,bwd,6,1874.803
1,bwd-L5,bwd,5,1584.706
1,bwd-L4,bwd,4,1294.610
1,bwd-L3,bwd,3,1004.514
1,bwd-L2,bwd,2,714.418
1,bwd-L1,bwd,1,424.322
2,fwd-L1,fwd,1,335.769
2,fwd-L2,fwd,2,621.705
2,fwd-L3,fwd,3,904.124
2,fwd-L4,fwd,4,1186.543
2,fwd-L5,fwd,5,1468.962
2,fwd-L6,fwd,6,1751.382
2,fwd-L7,fwd,7,2033.801
2,fwd-L8,fwd,8,2316.220
2,fwd-L9,fwd,9,2598.639
2,fwd-L10,fwd,10,2881.058
2,fwd-L11,fwd,11,3163.478
2,fwd-L12,fwd,12,3445.897
2,bwd-L12,bwd,12,3614.729
2,bwd-L11,bwd,11,3325.508
2,bwd-L10,bwd,10,3035.412
2,bwd-L9,bwd,9,2745.315
2,bwd-L8,bwd,8,2455.219
2,bwd-L7,bwd,7,2165.123
2,bwd-L6,bwd,6,1875.027
2,bwd-L5,bwd,5,1584.931
2,bwd-L4,bwd,4,1294.834
2,bwd-L3,bwd,3,1004.738
2,bwd-L2,bwd,2,714.642
2,bwd-L1,bwd,1,424.546
