epoch,x_label,phase,layer,mem_mib
1,fwd-L1,fwd,1,372.863
1,fwd-L2,fwd,2,389.409
1,fwd-L3,fwd,3,404.117
1,fwd-L4,fwd,4,418.551
1,fwd-L5,fwd,5,433.259
1,fwd-L6,fwd,6,447.990
1,fwd-L7,fwd,7,462.691
1,fwd-L8,fwd,8,477.368
1,fwd-L9,fwd,9,492.076
1,fwd-L10,fwd,10,506.846
1,fwd-L11,fwd,11,521.493
1,fwd-L12,fwd,12,536.170
1,bwd-L12,bwd,12,586.680
1,bwd-L11,bwd,11,575.105
1,bwd-L10,bwd,10,563.343
1,bwd-L9,bwd,9,551.581
1,bwd-L8,bwd,8,539.943
1,bwd-L7,bwd,7,528.322
1,bwd-L6,bwd,6,516.575
1,bwd-L5,bwd,5,504.812
1,bwd-L4,bwd,4,493.737
1,bwd-L3,bwd,3,482.038
1,bwd-L2,bwd,2,470.276
1,bwd-L1,bwd,1,459.012
2,fwd-L1,fwd,1,373.316
2,fwd-L2,fwd,2,389.826
2,fwd-L3,fwd,3,404.534
2,fwd-L4,fwd,4,418.831
2,fwd-L5,fwd,5,433.783
2,fwd-L6,fwd,6,448.491
2,fwd-L7,fwd,7,463.184
2,fwd-L8,fwd,8,477.952
2,fwd-L9,fwd,9,492.600
2,fwd-L10,fwd,10,507.308
2,fwd-L11,fwd,11,521.955
2,fwd-L12,fwd,12,536.663
2,bwd-L12,bwd,12,587.055
2,bwd-L11,bwd,11,575.730
2,bwd-L10,bwd,10,563.905
2,bwd-L9,bwd,9,552.330
2,bwd-L8,bwd,8,540.631
2,bwd-L7,bwd,7,528.837
2,bwd-L6,bwd,6,517.138
2,bwd-L5,bwd,5,505.563
2,bwd-L4,bwd,4,494.519
2,bwd-L3,bwd,3,482.694
2,bwd-L2,bwd,2,470.994
2,bwd-L1,bwd,1,459.639
3,fwd-L1,fwd,1,373.316
3,fwd-L2,fwd,2,389.826
3,fwd-L3,fwd,3,404.534
3,fwd-L4,fwd,4,418.831
3,fwd-L5,fwd,5,433.783
3,fwd-L6,fwd,6,448.491
3,fwd-L7,fwd,7,463.184
3,fwd-L8,fwd,8,477.953
